year,month,varname
2001,1,ESA.Q.I2.S.0000.B1QG00.1000.TTTT.Q.U.A
2001,2,ESA.Q.I2.S.0000.B1QG00.1000.TTTT.Q.U.A
2001,3,ESA.Q.I2.S.0000.B1QG00.1000.TTTT.Q.U.A
2001,4,ESA.Q.I2.S.0000.B1QG00.1000.TTTT.Q.U.A
2001,5,ESA.Q.I2.S.0000.B1QG00.1000.TTTT.Q.U.A
2001,6,ESA.Q.I2.S.0000.B1QG00.1000.TTTT.Q.U.A
2001,7,ESA.Q.I2.S.0000.B1QG00.1000.TTTT.Q.U.A
2001,8,ESA.Q.I2.S.0000.B1QG00.1000.TTTT.Q.U.A
2001,9,ESA.Q.I2.S.0000.B1QG00.1000.TTTT.Q.U.A
2001,10,ESA.Q.I2.S.0000.B1QG00.1000.TTTT.Q.U.A
2001,11,ESA.Q.I2.S.0000.B1QG00.1000.TTTT.Q.U.A
2001,12,ESA.Q.I2.S.0000.B1QG00.1000.TTTT.Q.U.A
2002,1,ESA.Q.I2.S.0000.B1QG00.1000.TTTT.Q.U.A
2002,2,ESA.Q.I2.S.0000.B1QG00.1000.TTTT.Q.U.A
2002,3,ESA.Q.I2.S.0000.B1QG00.1000.TTTT.Q.U.A
2002,4,ESA.Q.I2.S.0000.B1QG00.1000.TTTT.Q.U.A
2002,5,ESA.Q.I2.S.0000.B1QG00.1000.TTTT.Q.U.A
2002,6,ESA.Q.I2.S.0000.B1QG00.1000.TTTT.Q.U.A
2002,7,ESA.Q.I2.S.0000.B1QG00.1000.TTTT.Q.U.A
2002,8,ESA.Q.I2.S.0000.B1QG00.1000.TTTT.Q.U.A
2002,9,ESA.Q.I2.S.0000.B1QG00.1000.TTTT.Q.U.A
2002,10,ESA.Q.I2.S.0000.B1QG00.1000.TTTT.Q.U.A
2002,11,ESA.Q.I2.S.0000.B1QG00.1000.TTTT.Q.U.A
2002,12,ESA.Q.I2.S.0000.B1QG00.1000.TTTT.Q.U.A
2003,1,ESA.Q.I2.S.0000.B1QG00.1000.TTTT.Q.U.A
2003,2,ESA.Q.I2.S.0000.B1QG00.1000.TTTT.Q.U.A
2003,3,ESA.Q.I2.S.0000.B1QG00.1000.TTTT.Q.U.A
2003,4,ESA.Q.I2.S.0000.B1QG00.1000.TTTT.Q.U.A
2003,5,ESA.Q.I2.S.0000.B1QG00.1000.TTTT.Q.U.A
2003,6,ESA.Q.I2.S.0000.B1QG00.1000.TTTT.Q.U.A
2003,7,ESA.Q.I2.S.0000.B1QG00.1000.TTTT.Q.U.A
2003,8,ESA.Q.I2.S.0000.B1QG00.1000.TTTT.Q.U.A
2003,9,ESA.Q.I2.S.0000.B1QG00.1000.TTTT.Q.U.A
2003,10,ESA.Q.I2.S.0000.B1QG00.1000.TTTT.Q.U.A
2003,11,ESA.Q.I2.S.0000.B1QG00.1000.TTTT.Q.U.A
2003,12,ESA.Q.I2.S.0000.B1QG00.1000.TTTT.Q.U.A
2004,1,ESA.Q.I2.S.0000.B1QG00.1000.TTTT.Q.U.A
2004,2,ESA.Q.I2.S.0000.B1QG00.1000.TTTT.Q.U.A
2004,3,ESA.Q.I2.S.0000.B1QG00.1000.TTTT.Q.U.A
2004,4,ESA.Q.I2.S.0000.B1QG00.1000.TTTT.Q.U.A
2004,5,ESA.Q.I2.S.0000.B1QG00.1000.TTTT.Q.U.A
2004,6,ESA.Q.I2.S.0000.B1QG00.1000.TTTT.Q.U.A
2004,7,ESA.Q.I2.S.0000.B1QG00.1000.TTTT.Q.U.A
2004,8,ESA.Q.I2.S.0000.B1QG00.1000.TTTT.Q.U.A
2004,9,ESA.Q.I2.S.0000.B1QG00.1000.TTTT.Q.U.A
2004,10,ESA.Q.I2.S.0000.B1QG00.1000.TTTT.Q.U.A
2004,11,ESA.Q.I2.S.0000.B1QG00.1000.TTTT.Q.U.A
2004,12,ESA.Q.I2.S.0000.B1QG00.1000.TTTT.Q.U.A
2005,1,ESA.Q.I2.S.0000.B1QG00.1000.TTTT.Q.U.A
2005,2,ESA.Q.I2.S.0000.B1QG00.1000.TTTT.Q.U.A
2005,3,ESA.Q.I2.S.0000.B1QG00.1000.TTTT.Q.U.A
2005,4,ESA.Q.I2.S.0000.B1QG00.1000.TTTT.Q.U.A
2005,5,ESA.Q.I2.S.0000.B1QG00.1000.TTTT.Q.U.A
2005,6,ESA.Q.I2.S.0000.B1QG00.1000.TTTT.Q.U.A
2005,7,ESA.Q.I2.S.0000.B1QG00.1000.TTTT.Q.U.A
2005,8,ESA.Q.I2.S.0000.B1QG00.1000.TTTT.Q.U.A
2005,9,ESA.Q.I2.S.0000.B1QG00.1000.TTTT.Q.U.A
2005,10,ESA.Q.I2.S.0000.B1QG00.1000.TTTT.Q.U.A
2005,11,ESA.Q.I2.S.0000.B1QG00.1000.TTTT.Q.U.A
2005,12,ESA.Q.I2.S.0000.B1QG00.1000.TTTT.L.U.A
2006,1,ESA.Q.I2.S.0000.B1QG00.1000.TTTT.L.U.A
2006,2,ESA.Q.I2.S.0000.B1QG00.1000.TTTT.L.U.A
2006,3,ESA.Q.I2.S.0000.B1QG00.1000.TTTT.L.U.A
2006,4,ESA.Q.I2.S.0000.B1QG00.1000.TTTT.L.U.A
2006,5,ESA.Q.I2.S.0000.B1QG00.1000.TTTT.L.U.A
2006,6,ESA.Q.I2.S.0000.B1QG00.1000.TTTT.L.U.A
2006,7,ESA.Q.I2.S.0000.B1QG00.1000.TTTT.L.U.A
2006,8,ESA.Q.I2.S.0000.B1QG00.1000.TTTT.L.U.A
2006,9,ESA.Q.I2.S.0000.B1QG00.1000.TTTT.L.U.A
2006,10,ESA.Q.I2.S.0000.B1QG00.1000.TTTT.L.U.A
2006,11,ESA.Q.I2.S.0000.B1QG00.1000.TTTT.L.U.A
2006,12,ESA.Q.I2.S.0000.B1QG00.1000.TTTT.L.U.A
2007,1,ESA.Q.I2.S.0000.B1QG00.1000.TTTT.L.U.A
2007,2,ESA.Q.I2.S.0000.B1QG00.1000.TTTT.L.U.A
2007,3,ESA.Q.I2.S.0000.B1QG00.1000.TTTT.L.U.A
2007,4,ESA.Q.I2.S.0000.B1QG00.1000.TTTT.L.U.A
2007,5,ESA.Q.I2.S.0000.B1QG00.1000.TTTT.L.U.A
2007,6,ESA.Q.I3.S.0000.B1QG00.1000.TTTT.L.U.A
2007,7,ESA.Q.I3.S.0000.B1QG00.1000.TTTT.L.U.A
2007,8,ESA.Q.I3.S.0000.B1QG00.1000.TTTT.L.U.A
2007,9,ESA.Q.I3.S.0000.B1QG00.1000.TTTT.L.U.A
2007,10,ESA.Q.I3.S.0000.B1QG00.1000.TTTT.L.U.A
2007,11,ESA.Q.I3.S.0000.B1QG00.1000.TTTT.L.U.A
2007,12,ESA.Q.I3.S.0000.B1QG00.1000.TTTT.L.U.A
2008,1,ESA.Q.I3.S.0000.B1QG00.1000.TTTT.L.U.A
2008,2,ESA.Q.I3.S.0000.B1QG00.1000.TTTT.L.U.A
2008,3,ESA.Q.I3.S.0000.B1QG00.1000.TTTT.L.U.A
2008,4,ESA.Q.I3.S.0000.B1QG00.1000.TTTT.L.U.A
2008,5,ESA.Q.I3.S.0000.B1QG00.1000.TTTT.L.U.A
2008,6,ESA.Q.I4.S.0000.B1QG00.1000.TTTT.L.U.A
2008,7,ESA.Q.I4.S.0000.B1QG00.1000.TTTT.L.U.A
2008,8,ESA.Q.I4.S.0000.B1QG00.1000.TTTT.L.U.A
2008,9,ESA.Q.I4.S.0000.B1QG00.1000.TTTT.L.U.A
2008,10,ESA.Q.I4.S.0000.B1QG00.1000.TTTT.L.U.A
2008,11,ESA.Q.I4.S.0000.B1QG00.1000.TTTT.L.U.A
2008,12,ESA.Q.I4.S.0000.B1QG00.1000.TTTT.L.U.A
2009,1,ESA.Q.I4.S.0000.B1QG00.1000.TTTT.L.U.A
2009,2,ESA.Q.I5.S.0000.B1QG00.1000.TTTT.L.U.A
2009,3,ESA.Q.I5.S.0000.B1QG00.1000.TTTT.L.U.A
2009,4,ESA.Q.I5.S.0000.B1QG00.1000.TTTT.L.U.A
2009,5,ESA.Q.I5.S.0000.B1QG00.1000.TTTT.L.U.A
2009,6,ESA.Q.I5.S.0000.B1QG00.1000.TTTT.L.U.A
2009,7,ESA.Q.I5.S.0000.B1QG00.1000.TTTT.L.U.A
2009,8,ESA.Q.I5.S.0000.B1QG00.1000.TTTT.L.U.A
2009,9,ESA.Q.I5.S.0000.B1QG00.1000.TTTT.L.U.A
2009,10,ESA.Q.I5.S.0000.B1QG00.1000.TTTT.L.U.A
2009,11,ESA.Q.I5.S.0000.B1QG00.1000.TTTT.L.U.A
2009,12,ESA.Q.I5.S.0000.B1QG00.1000.TTTT.L.U.A
2010,1,ESA.Q.I5.S.0000.B1QG00.1000.TTTT.L.U.A
2010,2,ESA.Q.I5.S.0000.B1QG00.1000.TTTT.L.U.A
2010,3,ESA.Q.I5.S.0000.B1QG00.1000.TTTT.L.U.A
2010,4,ESA.Q.I5.S.0000.B1QG00.1000.TTTT.L.U.A
2010,5,ESA.Q.I5.S.0000.B1QG00.1000.TTTT.L.U.A
2010,6,ESA.Q.I5.S.0000.B1QG00.1000.TTTT.L.U.A
2010,7,ESA.Q.I5.S.0000.B1QG00.1000.TTTT.L.U.A
2010,8,ESA.Q.I5.S.0000.B1QG00.1000.TTTT.L.U.A
2010,9,ESA.Q.I5.S.0000.B1QG00.1000.TTTT.L.U.A
2010,10,ESA.Q.I5.S.0000.B1QG00.1000.TTTT.L.U.A
2010,11,ESA.Q.I5.S.0000.B1QG00.1000.TTTT.L.U.A
2010,12,ESA.Q.I5.S.0000.B1QG00.1000.TTTT.L.U.A
2011,1,ESA.Q.I5.S.0000.B1QG00.1000.TTTT.L.U.A
2011,2,ESA.Q.I6.Y.0000.B1QG00.1000.TTTT.L.U.A
2011,3,ESA.Q.I6.Y.0000.B1QG00.1000.TTTT.L.U.A
2011,4,ESA.Q.I6.Y.0000.B1QG00.1000.TTTT.L.U.A
2011,5,ESA.Q.I6.Y.0000.B1QG00.1000.TTTT.L.U.A
2011,6,ESA.Q.I6.Y.0000.B1QG00.1000.TTTT.L.U.A
2011,7,ESA.Q.I6.Y.0000.B1QG00.1000.TTTT.L.U.A
2011,8,ESA.Q.I6.Y.0000.B1QG00.1000.TTTT.L.U.A
2011,9,ESA.Q.I6.Y.0000.B1QG00.1000.TTTT.L.U.A
2011,10,ESA.Q.I6.Y.0000.B1QG00.1000.TTTT.L.U.A
2011,11,ESA.Q.I6.Y.0000.B1QG00.1000.TTTT.L.U.A
2011,12,ESA.Q.I6.Y.0000.B1QG00.1000.TTTT.L.U.A
2012,1,ESA.Q.I6.Y.0000.B1QG00.1000.TTTT.L.U.A
2012,2,ESA.Q.I6.Y.0000.B1QG00.1000.TTTT.L.U.A
2012,3,ESA.Q.I6.Y.0000.B1QG00.1000.TTTT.L.U.A
2012,4,ESA.Q.I6.Y.0000.B1QG00.1000.TTTT.L.U.A
2012,5,ESA.Q.I6.Y.0000.B1QG00.1000.TTTT.L.U.A
2012,6,ESA.Q.I6.Y.0000.B1QG00.1000.TTTT.L.U.A
2012,7,ESA.Q.I6.Y.0000.B1QG00.1000.TTTT.L.U.A
2012,8,ESA.Q.I6.Y.0000.B1QG00.1000.TTTT.L.U.A
2012,9,ESA.Q.I6.Y.0000.B1QG00.1000.TTTT.L.U.A
2012,10,ESA.Q.I6.Y.0000.B1QG00.1000.TTTT.L.U.A
2012,11,ESA.Q.I6.Y.0000.B1QG00.1000.TTTT.L.U.A
2012,12,ESA.Q.I6.Y.0000.B1QG00.1000.TTTT.L.U.A
2013,1,ESA.Q.I6.Y.0000.B1QG00.1000.TTTT.L.U.A
2013,2,ESA.Q.I6.Y.0000.B1QG00.1000.TTTT.L.U.A
2013,3,ESA.Q.I6.Y.0000.B1QG00.1000.TTTT.L.U.A
2013,4,ESA.Q.I6.Y.0000.B1QG00.1000.TTTT.L.U.A
2013,5,ESA.Q.I6.Y.0000.B1QG00.1000.TTTT.L.U.A
2013,6,ESA.Q.I6.Y.0000.B1QG00.1000.TTTT.L.U.A
2013,7,ESA.Q.I6.Y.0000.B1QG00.1000.TTTT.L.U.A
2013,8,ESA.Q.I6.Y.0000.B1QG00.1000.TTTT.L.U.A
2013,9,ESA.Q.I6.Y.0000.B1QG00.1000.TTTT.L.U.A
2013,10,ESA.Q.I6.Y.0000.B1QG00.1000.TTTT.L.U.A
2013,11,ESA.Q.I6.Y.0000.B1QG00.1000.TTTT.L.U.A
2013,12,ESA.Q.I6.Y.0000.B1QG00.1000.TTTT.L.U.A
2014,1,ESA.Q.I6.Y.0000.B1QG00.1000.TTTT.L.U.A
2014,2,ESA.Q.I7.Y.0000.B1QG00.1000.TTTT.L.U.A
2014,3,ESA.Q.I7.Y.0000.B1QG00.1000.TTTT.L.U.A
2014,4,ESA.Q.I7.Y.0000.B1QG00.1000.TTTT.L.U.A
2014,5,ESA.Q.I7.Y.0000.B1QG00.1000.TTTT.L.U.A
2014,6,ESA.Q.I7.Y.0000.B1QG00.1000.TTTT.L.U.A
2014,7,ESA.Q.I7.Y.0000.B1QG00.1000.TTTT.L.U.A
2014,8,ESA.Q.I7.Y.0000.B1QG00.1000.TTTT.L.U.A
2014,9,ESA.Q.I7.Y.0000.B1QG00.1000.TTTT.L.U.A
2014,10,ESA.Q.I7.Y.0000.B1QG00.1000.TTTT.L.U.A
2014,11,MNA.Q.Y.I7.W2.S1.S1.B.B1GQ._Z._Z._Z.EUR.LR.N
2014,12,MNA.Q.Y.I7.W2.S1.S1.B.B1GQ._Z._Z._Z.EUR.LR.N
